                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.72795,                0.47797,                 1.2036,                 0.8716,                0.89177,                0.90898,                0.67801,                0.96531,                0.60406,                 1.3738,             9.8867e-05,             9.8867e-05,             9.8867e-05
                     33,                 0.7169,                0.46526,                 1.1944,                0.87786,                0.89098,                 0.9177,                0.69077,                0.95544,                0.59166,                 1.3684,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     34,                0.71387,                0.45831,                 1.1908,                0.87929,                0.89023,                0.91149,                0.68809,                0.96293,                0.59399,                 1.3774,              8.873e-05,              8.873e-05,              8.873e-05
                     35,                0.70654,                0.45035,                 1.1877,                0.87945,                0.89923,                 0.9204,                0.69081,                0.96755,                0.57977,                 1.3797,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     36,                0.68885,                0.43623,                 1.1686,                0.87725,                0.89918,                0.91407,                0.68674,                  0.967,                0.58344,                 1.3854,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     37,                0.68524,                0.43226,                 1.1678,                0.88935,                0.88177,                0.91414,                0.69359,                0.95745,                0.58448,                 1.3777,             7.3523e-05,             7.3523e-05,             7.3523e-05
                     38,                 0.6738,                0.42385,                 1.1582,                0.88308,                 0.8949,                0.91816,                0.69264,                0.96038,                0.58107,                 1.3865,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     39,                0.66876,                0.41725,                 1.1563,                0.87833,                0.89228,                0.91523,                0.69245,                0.95762,                0.58455,                 1.3755,             6.3386e-05,             6.3386e-05,             6.3386e-05
                     40,                0.66183,                0.41021,                 1.1504,                 0.8708,                 0.8975,                 0.9134,                0.69212,                0.95984,                0.58302,                 1.3823,             5.8317e-05,             5.8317e-05,             5.8317e-05
                     41,                0.64914,                0.40184,                 1.1368,                0.87262,                0.89451,                0.91146,                0.69182,                0.95852,                0.59583,                 1.3876,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     42,                0.63989,                0.39227,                 1.1323,                0.87453,                0.90268,                0.91812,                0.69196,                0.95662,                0.58594,                 1.3862,             4.8179e-05,             4.8179e-05,             4.8179e-05
                     43,                0.63846,                0.38528,                 1.1305,                0.88877,                0.89343,                0.91986,                0.69704,                0.95637,                0.58575,                 1.3896,              4.311e-05,              4.311e-05,              4.311e-05
                     44,                0.62627,                0.38049,                 1.1224,                0.88967,                0.88859,                0.91824,                 0.6947,                0.96068,                0.57952,                 1.3919,             3.8042e-05,             3.8042e-05,             3.8042e-05
                     45,                0.61577,                 0.3742,                 1.1143,                0.87972,                0.89312,                0.91689,                0.69608,                0.95449,                0.58096,                 1.3867,             3.2973e-05,             3.2973e-05,             3.2973e-05
                     46,                0.60956,                0.36939,                 1.1101,                0.87676,                0.89596,                0.92112,                0.69913,                0.95746,                  0.578,                 1.3955,             2.7904e-05,             2.7904e-05,             2.7904e-05
                     47,                0.60528,                0.36487,                 1.1065,                0.88533,                0.88557,                0.91615,                0.69465,                0.95895,                0.58366,                 1.3985,             2.2835e-05,             2.2835e-05,             2.2835e-05
                     48,                0.59515,                0.36144,                 1.0979,                0.88424,                0.88902,                0.91675,                0.69685,                0.95832,                 0.5788,                 1.3968,             1.7766e-05,             1.7766e-05,             1.7766e-05
                     49,                0.59506,                0.35956,                 1.0988,                0.87747,                0.89577,                0.91766,                0.69527,                0.95855,                0.58284,                 1.3975,             1.2698e-05,             1.2698e-05,             1.2698e-05
                     50,                 0.5857,                0.34808,                 1.0877,                0.87898,                0.89535,                0.91653,                0.69568,                0.96087,                0.58497,                 1.4013,             7.6288e-06,             7.6288e-06,             7.6288e-06
